Date,Time,Ping (ms),Download (Mbps),Upload (Mbps)
02/10/21,13:13,12.42,702.15,23.61
02/10/21,21:19,12.61,0.0%,617.49,24.06
02/10/21,21:31,12.68,0.0%,680.11,23.92
02/10/21,22:05,12.35,0.0%,676.29,23.83
02/11/21,00:05,11.82,0.0%,716.89,23.94
02/11/21,02:05,11.71,0.0%,718.67,23.93
02/11/21,04:05,11.81,0.0%,697.60,23.85
02/11/21,06:05,11.67,0.0%,716.70,23.93
02/11/21,12:05,12.67,0.0%,700.56,23.89
02/11/21,16:05,27.16,0.0%,723.28,24.03
02/11/21,20:05,12.24,1.0%,365.05,23.76
02/12/21,00:05,13.01,4.0%,718.35,1.25
02/12/21,02:05,12.98,3.3%,714.89,1.35
02/12/21,04:05,11.75,0.5%,714.55,23.95
02/12/21,06:05,13.99,0.0%,718.17,23.97
02/12/21,08:05,11.43,0.0%,711.86,23.54
02/12/21,10:05,28.73,0.0%,727.24,22.69
02/12/21,12:05,12.53,1.1%,714.84,24.02
02/12/21,14:05,25.28,0.0%,717.90,23.35
02/12/21,16:05,12.31,0.0%,708.79,24.00
02/12/21,20:05,11.82,0.0%,629.60,23.83
02/12/21,22:05,12.42,0.0%,714.32,18.92
02/13/21,00:05,11.60,0.0%,712.97,23.97
02/13/21,08:05,25.19,0.0%,723.15,23.98
02/13/21,10:05,14.22,0.5%,716.62,24.02
02/13/21,12:05,25.68,0.0%,725.75,23.97
02/13/21,14:05,25.43,0.0%,674.17,24.04
02/13/21,18:05,12.63,1.0%,710.33,23.45
02/13/21,22:05,12.52,0.5%,717.18,22.39
02/14/21,00:05,12.56,0.0%,717.30,23.94
02/14/21,02:05,12.56,0.0%,700.46,23.81
02/14/21,04:05,12.91,0.0%,709.29,23.87
02/14/21,08:05,12.41,0.0%,713.11,24.18
02/14/21,10:05,12.99,0.0%,694.73,23.96
02/14/21,16:05,11.84,0.0%,713.47,23.88
02/14/21,18:05,13.60,0.0%,711.07,23.96
02/14/21,22:05,13.78,0.0%,718.49,23.96
02/15/21,00:05,13.19,0.0%,714.41,24.10
02/15/21,02:05,12.60,0.0%,721.31,24.17
02/15/21,04:05,12.59,0.0%,721.56,24.27
02/15/21,06:05,12.72,0.0%,714.79,24.26
02/15/21,08:05,12.52,0.0%,714.66,23.89
02/15/21,12:05,12.62,0.3%,445.43,23.69
02/15/21,14:05,12.47,0.0%,719.78,24.03
02/15/21,16:05,12.03,0.0%,442.78,23.90
02/15/21,18:05,12.64,0.0%,611.86,23.64
02/15/21,22:05,12.94,1.3%,687.26,23.16
02/16/21,00:05,11.69,0.0%,713.85,23.95
02/16/21,02:05,12.73,0.0%,721.96,24.15
02/16/21,04:05,12.60,0.0%,716.54,23.97
02/16/21,08:05,12.73,0.0%,170.64,23.66
02/16/21,16:05,15.85,2.1%,197.07,3.54
02/16/21,18:05,11.62,0.0%,708.10,23.48
02/16/21,20:05,12.59,0.0%,591.93,23.72
02/16/21,22:05,11.82,0.0%,713.41,23.81
02/17/21,00:05,12.62,0.0%,717.06,23.97
02/17/21,02:05,26.81,0.0%,722.45,24.02
02/17/21,04:05,12.83,0.0%,716.61,23.86
02/17/21,08:05,12.96,0.0%,319.95,23.66
02/17/21,10:05,12.85,0.0%,500.58,22.99
02/17/21,12:05,13.80,0.5%,709.26,22.45
02/17/21,14:05,14.12,0.0%,705.41,23.20
02/17/21,16:05,11.87,0.0%,525.48,23.72
02/17/21,18:05,27.00,0.5%,732.59,24.05
02/17/21,20:05,12.64,0.0%,722.51,23.33
02/18/21,02:05,11.74,0.0%,717.92,23.99
02/18/21,06:05,13.08,0.0%,722.19,24.17
02/18/21,08:05,12.54,0.0%,706.66,23.83
02/18/21,10:05,14.10,0.0%,702.11,22.86
02/18/21,14:05,11.70,0.0%,704.65,20.66
02/18/21,18:05,14.89,0.0%,705.75,18.11
02/18/21,22:05,11.58,0.0%,712.17,23.84
02/19/21,02:05,25.16,0.0%,726.74,24.17
02/19/21,04:05,25.47,0.0%,728.64,24.17
02/19/21,06:05,12.52,0.0%,713.75,23.99
02/19/21,12:05,11.90,0.0%,713.11,23.41
02/19/21,16:05,12.07,0.0%,724.13,24.10
02/19/21,18:05,12.90,0.0%,373.86,23.55
02/19/21,22:05,12.01,0.0%,191.73,23.96
02/20/21,04:05,11.89,0.0%,201.80,23.95
02/20/21,06:05,11.82,0.0%,205.80,24.02
02/20/21,10:05,12.45,0.0%,709.38,23.90
02/20/21,12:05,12.22,1.0%,712.25,24.05
02/20/21,14:05,12.86,0.0%,713.79,19.24
02/20/21,16:05,25.55,0.0%,728.56,24.07
02/20/21,18:05,14.21,4.3%,711.22,2.05
02/20/21,20:05,13.36,0.0%,711.10,23.72
02/21/21,00:05,11.95,0.0%,516.00,23.95
02/21/21,02:05,11.78,0.0%,716.59,23.95
02/21/21,06:05,11.84,0.5%,714.52,23.96
02/21/21,08:05,12.60,0.0%,504.18,22.62
02/21/21,10:05,12.86,0.0%,707.29,23.91
02/21/21,12:05,14.32,0.0%,718.29,23.96
02/21/21,16:05,12.13,0.0%,717.39,24.04
02/21/21,20:05,12.03,0.0%,712.46,23.93
02/21/21,22:05,11.39,0.0%,710.79,24.05
02/22/21,00:05,12.52,0.0%,712.53,23.88
02/22/21,02:05,12.15,0.0%,716.69,23.95
02/22/21,04:05,12.06,0.0%,719.07,23.88
02/22/21,06:05,12.27,0.0%,717.56,23.95
02/22/21,08:05,26.84,0.0%,715.10,24.06
02/22/21,10:05,12.26,0.0%,567.84,23.46
